City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Viedma,AR,-40.8135,-62.9967,49.24,29,3,9.82,clear sky
141,Sakakah,SA,29.9697,40.2064,91.18,14,0,5.53,clear sky
142,Port-Gentil,GA,-0.7193,8.7815,76.96,83,20,8.05,few clouds
143,Bonfim,BR,3.0833,-59.95,84.85,66,74,1.7,broken clouds
144,Ngunguru,NZ,-35.6167,174.5,59.2,81,0,16.08,clear sky
145,Yumen,CN,40.2833,97.2,63.52,14,100,13.13,overcast clouds
146,Yaring,TH,6.8662,101.3689,77.14,88,100,7.16,overcast clouds
147,Korla,CN,41.7597,86.1469,79.95,21,71,14.12,broken clouds
148,Sangin,AF,32.0728,64.8359,86.61,9,8,6.15,clear sky
149,Mutsu,JP,41.2894,141.2169,59.02,100,75,1.14,broken clouds
150,Trat,TH,12.5,102.5,83.91,88,100,0.85,overcast clouds
151,Hay River,CA,60.8156,-115.7999,67.1,47,35,4.16,scattered clouds
152,Cidreira,BR,-30.1811,-50.2056,53.69,60,54,19.93,broken clouds
153,Jamestown,US,42.097,-79.2353,69.19,30,0,13.8,clear sky
154,Ponta Do Sol,PT,32.6667,-17.1,74.71,72,0,4.72,clear sky
155,Roma,US,43.2128,-75.4557,71.74,46,75,18.41,broken clouds
156,Margate,GB,51.3813,1.3862,60.87,76,0,5.01,clear sky
157,Ocos,GT,14.5094,-92.1933,89.78,72,100,4.18,overcast clouds
158,Sebinkarahisar,TR,40.2883,38.4236,57.47,70,55,3.42,broken clouds
159,Ribeira Grande,PT,38.5167,-28.7,64.8,94,75,4.61,light rain
160,Turukhansk,RU,65.8167,87.9833,55.35,58,0,12.01,clear sky
161,Rio Grande,BR,-32.035,-52.0986,51.91,54,6,16.49,clear sky
162,Grand Gaube,MU,-20.0064,57.6608,69.39,88,14,5.01,moderate rain
163,Borzya,RU,50.3833,116.5167,54.99,71,12,10.96,few clouds
164,Valle De Santiago,MX,20.3833,-101.2,85.03,30,98,3.09,overcast clouds
165,Dunedin,NZ,-45.8742,170.5036,39.79,66,56,4.0,broken clouds
166,Kruisfontein,ZA,-34.0033,24.7314,59.67,43,1,7.81,clear sky
167,Yulara,AU,-25.2406,130.9889,46.42,57,100,6.87,overcast clouds
168,Wanlaweyn,SO,2.6185,44.8938,76.3,85,58,16.96,broken clouds
169,Xiamen,CN,24.4798,118.0819,77.25,94,86,5.95,overcast clouds
170,Mettur,IN,11.8,77.8,80.47,76,99,0.56,overcast clouds
171,Itarema,BR,-2.9248,-39.9167,78.44,86,23,11.99,few clouds
172,Castro,BR,-24.7911,-50.0119,58.55,89,100,4.74,light rain
173,Tuktoyaktuk,CA,69.4541,-133.0374,39.9,66,100,11.95,overcast clouds
174,Mudhol,IN,16.35,75.2833,75.87,78,41,13.8,scattered clouds
175,Shirokiy,RU,49.758,129.523,53.8,82,6,4.97,clear sky
176,Hasaki,JP,35.7333,140.8333,66.6,85,100,7.99,overcast clouds
177,Ankpa,NG,7.3706,7.6253,73.4,92,47,3.98,light rain
178,Howard Springs,AU,-12.497,131.047,64.81,53,100,8.68,overcast clouds
179,Tual,ID,-5.6667,132.75,82.62,78,74,17.72,broken clouds
180,Faanui,PF,-16.4833,-151.75,80.24,74,11,17.85,light rain
181,Cervo,ES,43.6702,-7.4101,63.97,88,3,5.21,clear sky
182,Boueni,YT,-12.9025,45.0761,76.98,70,2,11.39,clear sky
183,Alyangula,AU,-13.8483,136.4192,71.04,60,100,14.9,overcast clouds
